				BA_1	BA_2	BA_3	BA_4	SF_1	SF_2	SF_3	SF_4
ENSBTAG00000000030_RDM1	RDM1	RDM1	RDM1	71	50	111	48	10	6	7	0
ENSBTAG00000000031_TRPV4	TRPV4	TRPV4	TRPV4	69	53	39	27	42	43	76	39
ENSBTAG00000000032_ABI3	ABI3	ABI3	ABI3	4	1	6	10	0	0	0	0
ENSBTAG00000000033_PHOSPHO1	PHOSPHO1	PHOSPHO1	PHOSPHO1	3	0	5	0	0	0	0	0
ENSBTAG00000000037_CWC27	CWC27	CWC27	CWC27	190	99	75	91	49	45	72	84
ENSBTAG00000000039_SIRT7	SIRT7	SIRT7	SIRT7	112	85	144	78	58	98	107	97
ENSBTAG00000000040_MAFG	MAFG	MAFG	MAFG	44	45	56	58	68	70	18	78
ENSBTAG00000000042_PYCR1	PYCR1	PYCR1	PYCR1	50	30	21	29	6	14	10	6
ENSBTAG00000000044_MYADML2	MYADML2	MYADML2	MYADML2	0	0	0	0	0	0	0	0
ENSBTAG00000000046_SURF2	SURF2	SURF2	SURF2	30	8	23	17	14	9	9	2
ENSBTAG00000000049_CCDC77	CCDC77	CCDC77	CCDC77	21	59	28	15	17	9	8	10
ENSBTAG00000000050_PSMG3	PSMG3	PSMG3	PSMG3	374	196	308	418	176	83	152	151
ENSBTAG00000000052_PKNOX2	PKNOX2	PKNOX2	PKNOX2	0	0	0	0	0	0	0	0
ENSBTAG00000000053_FILIP1	FILIP1	FILIP1	FILIP1	7	17	5	0	0	1	0	0
ENSBTAG00000000054_SNAPC4	SNAPC4	SNAPC4	SNAPC4	13	14	33	47	10	9	38	30
ENSBTAG00000000056_STRADA	STRADA	STRADA	STRADA	35	36	58	35	36	30	88	58
ENSBTAG00000000057_THBS3	THBS3	THBS3	THBS3	2	0	0	2	0	0	0	2
ENSBTAG00000000060_PRDM14	PRDM14	PRDM14	PRDM14	0	0	0	0	0	0	0	0
ENSBTAG00000000061_PCDH7	PCDH7	PCDH7	PCDH7	66	27	33	8	31	12	10	1
ENSBTAG00000000062_RASL12	RASL12	RASL12	RASL12	13	6	2	0	0	0	0	0
ENSBTAG00000000064_FEN1	FEN1	FEN1	FEN1	191	132	190	270	40	35	51	36
ENSBTAG00000000065_CRLS1	CRLS1	CRLS1	CRLS1	387	374	293	343	94	180	111	175
ENSBTAG00000000066_LRRN4	LRRN4	LRRN4	LRRN4	0	0	0	0	0	0	0	0
ENSBTAG00000000067_SDF2L1	SDF2L1	SDF2L1	SDF2L1	135	69	119	70	326	145	578	358
ENSBTAG00000000070_F13B	F13B	F13B	F13B	0	0	0	8	0	0	0	0
ENSBTAG00000000071_PMP2	PMP2	PMP2	PMP2	0	0	0	0	0	0	0	0
ENSBTAG00000000072_TFB2M	TFB2M	TFB2M	TFB2M	451	414	295	459	165	150	34	162
ENSBTAG00000000073_LRPAP1	LRPAP1	LRPAP1	LRPAP1	400	315	357	411	144	180	218	265
ENSBTAG00000000074_NFIA	NFIA	NFIA	NFIA	103	94	59	88	2	21	12	7
ENSBTAG00000000076_RECK	RECK	RECK	RECK	22	3	6	9	3	0	4	0
ENSBTAG00000000077_ADSL	ADSL	ADSL	ADSL	940	702	1102	959	215	306	284	366
ENSBTAG00000000078_GLIPR2	GLIPR2	GLIPR2	GLIPR2	49	20	15	29	10	0	4	14
ENSBTAG00000000079_CCSAP	CCSAP	CCSAP	CCSAP	0	1	3	4	0	1	18	3
ENSBTAG00000000080_GRWD1	GRWD1	GRWD1	GRWD1	144	127	273	141	33	58	86	54
ENSBTAG00000000081_CERT1	CERT1	CERT1	CERT1	112	53	55	137	46	38	84	24
ENSBTAG00000000082_KCNJ14	KCNJ14	KCNJ14	KCNJ14	0	6	1	0	0	0	0	0
ENSBTAG00000000084_MRPS30	MRPS30	MRPS30	MRPS30	482	250	355	327	89	167	96	187
ENSBTAG00000000085	#VALUE!	-	ENSBTAG00000000085	0	0	0	0	0	0	0	0
ENSBTAG00000000087_HSD17B12	HSD17B12	HSD17B12	HSD17B12	503	326	550	616	568	939	1267	1038
ENSBTAG00000000088_ALCAM	ALCAM	ALCAM	ALCAM	11	117	87	66	0	242	76	41
ENSBTAG00000000090_SEC31B	SEC31B	SEC31B	SEC31B	3	29	25	18	41	25	10	32
ENSBTAG00000000091_NDUFB8	NDUFB8	NDUFB8	NDUFB8	2643.95	2344.87	2487.97	2464.84	1588.93	1424.9	1421.91	1558.9
ENSBTAG00000000092_HIF1AN	HIF1AN	HIF1AN	HIF1AN	184	180	158	199	63	50	95	136
ENSBTAG00000000094_ATPAF1	ATPAF1	ATPAF1	ATPAF1	485	722	769	1115	344	534	275	473
ENSBTAG00000000095_CD274	CD274	CD274	CD274	0	2	5	0	1	1	6	12
ENSBTAG00000000097_EFCAB14	EFCAB14	EFCAB14	EFCAB14	222	62	143	122	397	658	299	420
ENSBTAG00000000098_SETDB1	SETDB1	SETDB1	SETDB1	64	72	62	57	40	23	53	45
ENSBTAG00000000099_CERS2	CERS2	CERS2	CERS2	1503	1247	1275	1323	389	609	438	537
ENSBTAG00000000102_GPR75	GPR75	GPR75	GPR75	0	0	0	0	0	0	0	0
ENSBTAG00000000103_MRPL23	MRPL23	MRPL23	MRPL23	361	301	370	287	109	87	173	173
ENSBTAG00000000105_RIT1	RIT1	RIT1	RIT1	347	345	304	308	295	398	472	332
ENSBTAG00000000106_DIPK1C	DIPK1C	DIPK1C	DIPK1C	54	69	92	253	11	14	12	20
ENSBTAG00000000108_KHDC4	KHDC4	KHDC4	KHDC4	64	83	71	76	74	70	39	14
ENSBTAG00000000109_NPTXR	NPTXR	NPTXR	NPTXR	14	1	10	6	8	0	0	0
ENSBTAG00000000111_UGP2	UGP2	UGP2	UGP2	1655	1791	1771	1723	604	883	969	847
ENSBTAG00000000113_ARHGEF2	ARHGEF2	ARHGEF2	ARHGEF2	73	54	128	86	33	54	7	20
ENSBTAG00000000115_VPS54	VPS54	VPS54	VPS54	14	61	20	28	11	46	61	64
ENSBTAG00000000118_OR52E8	OR52E8	OR52E8	OR52E8	0	0	0	3	0	0	0	0
ENSBTAG00000000120_USP43	USP43	USP43	USP43	6	18	20	18	5	1	2	10
ENSBTAG00000000123_HAO2	HAO2	HAO2	HAO2	0	0	0	0	0	0	0	0
ENSBTAG00000000124_DHH	DHH	DHH	DHH	2	0	0	0	0	0	0	0
ENSBTAG00000000125_SPATA5	SPATA5	SPATA5	SPATA5	27	9	34	16	10	9	11	7
ENSBTAG00000000128_FGF18	FGF18	FGF18	FGF18	0	0	1	0	0	0	0	0
ENSBTAG00000000130_TNFSF13	TNFSF13	TNFSF13	TNFSF13	0	0	5	18	14	16	28	12
ENSBTAG00000000131_SENP3	SENP3	SENP3	SENP3	49	30	48	45	23	8	23	14
ENSBTAG00000000132_EIF4A1	EIF4A1	EIF4A1	EIF4A1	2947	2005	3700	2125	1465	1347	2288	1275
ENSBTAG00000000133_CD68	CD68	CD68	CD68	20	0	29	4	4	0	12	13
ENSBTAG00000000134_MPDU1	MPDU1	MPDU1	MPDU1	167	207	164	94	85	144	116	110
ENSBTAG00000000137_FRYL	FRYL	FRYL	FRYL	312	294	252	272	209	211	94	146
ENSBTAG00000000138_CCDC178	CCDC178	CCDC178	CCDC178	0	0	0	0	0	0	0	0
ENSBTAG00000000139_KMT5A	KMT5A	KMT5A	KMT5A	4	9	10	21	4	11	9	10
ENSBTAG00000000140_EPHX1	EPHX1	EPHX1	EPHX1	888	2082	571	2411	203	801	219	447
ENSBTAG00000000141_NFU1	NFU1	NFU1	NFU1	439	228	663	486	273	171	320	259
ENSBTAG00000000144	#VALUE!	-	ENSBTAG00000000144	120	4	8	0	5	0	0	0
ENSBTAG00000000145_OR13D2	OR13D2	OR13D2	OR13D2	0	0	0	0	0	0	0	0
ENSBTAG00000000146_FARP1	FARP1	FARP1	FARP1	111	118	34	92	0	15	0	8
ENSBTAG00000000147_RIC8B	RIC8B	RIC8B	RIC8B	83	33	54	48	0	32	5	12
ENSBTAG00000000149_USP40	USP40	USP40	USP40	114	209	131	167	57	40	38	37
ENSBTAG00000000152_RANBP2	RANBP2	RANBP2	RANBP2	294	185	392	162	366	225	411	234
ENSBTAG00000000153_LRFN3	LRFN3	LRFN3	LRFN3	4	1	1	4	9	5	14	9
ENSBTAG00000000154	#VALUE!	-	ENSBTAG00000000154	0	0	0	0	0	0	0	0
ENSBTAG00000000157_CCDC138	CCDC138	CCDC138	CCDC138	14	34	22	33	9	8	9	11
ENSBTAG00000000160_CBS	CBS	CBS	CBS	291	273	194	197	104	148	138	129
ENSBTAG00000000161_TMEM40	TMEM40	TMEM40	TMEM40	450	284	270	236	1414	1092	1461	1362
ENSBTAG00000000162_ANAPC16	ANAPC16	ANAPC16	ANAPC16	827	659	799	703	243	248	426	393
ENSBTAG00000000163_DDIT4	DDIT4	DDIT4	DDIT4	145	138	233	169	91	22	228	27
ENSBTAG00000000164_GNRH1	GNRH1	GNRH1	GNRH1	0	0	0	0	0	0	0	0
ENSBTAG00000000168	#VALUE!	-	ENSBTAG00000000168	0	0	0	0	0	0	0	0
ENSBTAG00000000169_ASZ1	ASZ1	ASZ1	ASZ1	0	0	0	12	1	0	0	0
ENSBTAG00000000170_GSTT4	GSTT4	GSTT4	GSTT4	9	7	16	3	0	2	0	0
ENSBTAG00000000172_PFKFB1	PFKFB1	PFKFB1	PFKFB1	0	0	0	0	0	0	0	0
ENSBTAG00000000175_N4BP2	N4BP2	N4BP2	N4BP2	41	38	50	99	44	66	58	27
ENSBTAG00000000176_SP3	SP3	SP3	SP3	159	62	102	140	9	39	37	74
ENSBTAG00000000177_MSLN	MSLN	MSLN	MSLN	0	0	0	0	0	0	0	0
ENSBTAG00000000179_RPUSD1	RPUSD1	RPUSD1	RPUSD1	7	10	5	4	0	5	1	2
ENSBTAG00000000181_SUSD3	SUSD3	SUSD3	SUSD3	9	4	1	0	3	0	0	1
ENSBTAG00000000182_SPINT2	SPINT2	SPINT2	SPINT2	2632	2477	2157	2478	2321	3325	3458	3594
ENSBTAG00000000184_EIF2AK3	EIF2AK3	EIF2AK3	EIF2AK3	33	25	98	73	39	88	44	84
ENSBTAG00000000185_SLC6A14	SLC6A14	SLC6A14	SLC6A14	0	0	0	16	160	6	512	28
ENSBTAG00000000186_FLAD1	FLAD1	FLAD1	FLAD1	241	138	161	143	80	187	151	133
ENSBTAG00000000188_HS3ST5	HS3ST5	HS3ST5	HS3ST5	0	5	7	3	0	0	0	0
ENSBTAG00000000189_LHFPL3	LHFPL3	LHFPL3	LHFPL3	1	0	0	0	3	0	2	0
ENSBTAG00000000191_SLC25A20	SLC25A20	SLC25A20	SLC25A20	262	110	233	150	125	241	155	241
ENSBTAG00000000195	#VALUE!	-	ENSBTAG00000000195	0	6	0	4	7	0	3	6
ENSBTAG00000000197_TRMT10A	TRMT10A	TRMT10A	TRMT10A	45	67	56	64	19	23	10	22
ENSBTAG00000000198	#VALUE!	-	ENSBTAG00000000198	0	0	0	0	32.23	0	20.94	14
ENSBTAG00000000199_PDP1	PDP1	PDP1	PDP1	35	12	7	5	4	27	6	0
ENSBTAG00000000201_LTN1	LTN1	LTN1	LTN1	118	61	63	84	65	68	105	53
ENSBTAG00000000202_SLC25A19	SLC25A19	SLC25A19	SLC25A19	91	92	97	90	36	48	29	31
ENSBTAG00000000203_ATP6V1G1	ATP6V1G1	ATP6V1G1	ATP6V1G1	2030	1546	1811	1723	2354	2900	2414	3310
ENSBTAG00000000204_TMEM268	TMEM268	TMEM268	TMEM268	44	28	8	11	10	14	4	3
ENSBTAG00000000205_MMD	MMD	MMD	MMD	37	71	215	90	55	88	65	126
ENSBTAG00000000207_PUDP	PUDP	PUDP	PUDP	127	54	169	92	63	73	48	74
ENSBTAG00000000210_ARHGAP31	ARHGAP31	ARHGAP31	ARHGAP31	16	2	22	28	1	22	16	10
ENSBTAG00000000211_SHROOM2	SHROOM2	SHROOM2	SHROOM2	4	0	7	13	0	5	1	4
ENSBTAG00000000212_NADK	NADK	NADK	NADK	191	310	413	578	234	438	282	246
ENSBTAG00000000213_TMEM39A	TMEM39A	TMEM39A	TMEM39A	87	74	90	92	62	36	89	33
ENSBTAG00000000214_OR2AD1	OR2AD1	OR2AD1	OR2AD1	0	0	0	0	0	0	0	0
ENSBTAG00000000215_GNB1	GNB1	GNB1	GNB1	604	723	969	1233	724	983	1083	980
ENSBTAG00000000218_MAP2K5	MAP2K5	MAP2K5	MAP2K5	47	48	92	90	15	49	91	26
ENSBTAG00000000219_GRIN2B	GRIN2B	GRIN2B	GRIN2B	0	0	0	0	0	0	0	0
ENSBTAG00000000220_NEK10	NEK10	NEK10	NEK10	0	0	0	0	0	0	0	0
ENSBTAG00000000221_RBM34	RBM34	RBM34	RBM34	106	52	77	64	35	46	47	93
ENSBTAG00000000222_ARID4B	ARID4B	ARID4B	ARID4B	295	289	288	313	299	291	422	272
ENSBTAG00000000223_PPM1B	PPM1B	PPM1B	PPM1B	610	473	412	426	153	376	239	295
ENSBTAG00000000224_TSPAN15	TSPAN15	TSPAN15	TSPAN15	228	204	36	159	20	37	22	1
ENSBTAG00000000225_POLB	POLB	POLB	POLB	85	63	110	78	88	80	80	78
ENSBTAG00000000226_DKK4	DKK4	DKK4	DKK4	0	0	0	0	0	0	0	0
ENSBTAG00000000228_OR2Y3B	OR2Y3B	OR2Y3B	OR2Y3B	0	0	0	0	0	0	0	0
ENSBTAG00000000229	#VALUE!	-	ENSBTAG00000000229	2	0	0	0	0	0	3	0
ENSBTAG00000000231_BMPR1A	BMPR1A	BMPR1A	BMPR1A	58	106	73	74	16	17	53	28
ENSBTAG00000000232_OR51D1	OR51D1	OR51D1	OR51D1	0	0	0	0	0	0	0	0
ENSBTAG00000000233_OR51E1	OR51E1	OR51E1	OR51E1	90	54	67	125	6	31	0	15
ENSBTAG00000000236_YWHAZ	YWHAZ	YWHAZ	YWHAZ	1084.68	497.85	1431.56	763	341	445.84	853	421.95
ENSBTAG00000000237	#VALUE!	-	ENSBTAG00000000237	0	0	0	0	0	0	0	0
ENSBTAG00000000238_PSD2	PSD2	PSD2	PSD2	0	0	0	0	0	0	0	0
ENSBTAG00000000240_AKAP7	AKAP7	AKAP7	AKAP7	86	26.67	24.76	37.66	129.45	14	10	46
ENSBTAG00000000241_STAU1	STAU1	STAU1	STAU1	388	301	375	332	352	459	528	470
ENSBTAG00000000242	#VALUE!	-	ENSBTAG00000000242	28.45	5.09	9.21	18.1	22.94	3.11	11.3	8.28
ENSBTAG00000000243_HEBP2	HEBP2	HEBP2	HEBP2	735	452	769	760	1418	1340	2487	1668
ENSBTAG00000000244_NRXN2	NRXN2	NRXN2	NRXN2	2	2	0	0	1	0	0	1
ENSBTAG00000000245_NHSL1	NHSL1	NHSL1	NHSL1	82	46	53	85	199	177	244	294
ENSBTAG00000000246_ME3	ME3	ME3	ME3	0	0	7	4	0	0	0	0
ENSBTAG00000000250_HDHD3	HDHD3	HDHD3	HDHD3	52	74	60	86	43	57	132	68
ENSBTAG00000000251_ALAD	ALAD	ALAD	ALAD	666	923	774	1178	311	905	619	838
ENSBTAG00000000252_POLE3	POLE3	POLE3	POLE3	936	474	872	717	275	242	263	268
ENSBTAG00000000253_PTPRF	PTPRF	PTPRF	PTPRF	550	610	858	401	558	796	1665	1048
ENSBTAG00000000256	#VALUE!	-	ENSBTAG00000000256	21	11	19	21	7	6	7.11	11
ENSBTAG00000000257_MRAP2	MRAP2	MRAP2	MRAP2	0	0	0	0	0	0	0	0
ENSBTAG00000000259_CHIA	CHIA	CHIA	CHIA	0	0	0	0	0	0	0	0
ENSBTAG00000000260_ZNRF2	ZNRF2	ZNRF2	ZNRF2	6	1	24	40	0	8	10	0
ENSBTAG00000000261_FAM228A	FAM228A	FAM228A	FAM228A	0	0	0	0	0	0	0	0
ENSBTAG00000000264_RFX6	RFX6	RFX6	RFX6	0	0	0	0	0	0	0	0
ENSBTAG00000000265_SYNPR	SYNPR	SYNPR	SYNPR	0	8	0	0	0	0	0	0
ENSBTAG00000000266_NAB1	NAB1	NAB1	NAB1	691	538	597	549	222	535	381	382
ENSBTAG00000000267_SMG6	SMG6	SMG6	SMG6	40	59	49	54	25	46	57	35
ENSBTAG00000000269	#VALUE!	-	ENSBTAG00000000269	120	55	71	100	74	92	68	130
ENSBTAG00000000271_MNS1	MNS1	MNS1	MNS1	13	15	5	30	0	0	14	3
ENSBTAG00000000273_IL5RA	IL5RA	IL5RA	IL5RA	0	0	0	0	0	1	0	1
ENSBTAG00000000274_YKT6	YKT6	YKT6	YKT6	152	89	186	147	87	120	142	86
ENSBTAG00000000275_PARP11	PARP11	PARP11	PARP11	133	65	125	77	62	69	50	160
ENSBTAG00000000277_IL18	IL18	IL18	IL18	292	108	234	151	202	77	155	71
ENSBTAG00000000278_RNF17	RNF17	RNF17	RNF17	0	0	0	0	0	0	0	0
ENSBTAG00000000279_RAB26	RAB26	RAB26	RAB26	5	7	15	4	0	0	9	6
ENSBTAG00000000281_MND1	MND1	MND1	MND1	106	46	184	96	26	0	6	3
ENSBTAG00000000283_CSF1	CSF1	CSF1	CSF1	63	83	74	33	44	80	40	107
ENSBTAG00000000284_NAALAD2	NAALAD2	NAALAD2	NAALAD2	7	0	9	8	0	8	0	0
ENSBTAG00000000285_GUF1	GUF1	GUF1	GUF1	132	148	90	196	47	70	73	71
ENSBTAG00000000286_PFKM	PFKM	PFKM	PFKM	65	124	103	160	24	52	34	37
ENSBTAG00000000287_GNPDA2	GNPDA2	GNPDA2	GNPDA2	169	170	148	146	89	82	107	107
ENSBTAG00000000288_UPF2	UPF2	UPF2	UPF2	267	149	209	206	244	139	266	199
ENSBTAG00000000289_ASB8	ASB8	ASB8	ASB8	146	113	69	101	7	18	15	0
ENSBTAG00000000290_ATP11B	ATP11B	ATP11B	ATP11B	28	11	90	15	46	93	80	80
ENSBTAG00000000291_DHTKD1	DHTKD1	DHTKD1	DHTKD1	154	130	145	153	64	141	47	132
ENSBTAG00000000292_TCIRG1	TCIRG1	TCIRG1	TCIRG1	124	63	67	37	17	60	69	57
ENSBTAG00000000295_CLHC1	CLHC1	CLHC1	CLHC1	83	67	27	56	43	68	1	45
ENSBTAG00000000296_IMPDH1	IMPDH1	IMPDH1	IMPDH1	186	289	75	310	51	215	76	200
ENSBTAG00000000297_ZNF330	ZNF330	ZNF330	ZNF330	355	280	277	212	163	213.99	191	168.99
ENSBTAG00000000300_NEXMIF	NEXMIF	NEXMIF	NEXMIF	7	0	0	0	0	0	0	0
ENSBTAG00000000301	#VALUE!	-	ENSBTAG00000000301	0	0	0	0	0	0	0	0
ENSBTAG00000000305_LMO4	LMO4	LMO4	LMO4	2411	3077	3659	3331	291	667	723	502
ENSBTAG00000000306_ITK	ITK	ITK	ITK	5	2	7	10	6	0	0	0
ENSBTAG00000000308_ITCH	ITCH	ITCH	ITCH	110	38	28	39	8	64	61	21
ENSBTAG00000000309_PTPRT	PTPRT	PTPRT	PTPRT	0	0	0	0	0	0	0	0
ENSBTAG00000000310_MFAP5	MFAP5	MFAP5	MFAP5	6	4	0	1	4	0	1	0
ENSBTAG00000000312_GRINA	GRINA	GRINA	GRINA	353	123	93	89	562	177	156	199
ENSBTAG00000000313_NUDT13	NUDT13	NUDT13	NUDT13	58	141	46	73	16	55	34	56
ENSBTAG00000000315_ECD	ECD	ECD	ECD	157	195	227	124	154	104	203	167
ENSBTAG00000000317_MAPK8IP1	MAPK8IP1	MAPK8IP1	MAPK8IP1	18	48	31	77	9	27	18	34
ENSBTAG00000000320_UBAP1	UBAP1	UBAP1	UBAP1	537	364	575	569	420	613	708	482
ENSBTAG00000000321_TBL2	TBL2	TBL2	TBL2	68	73	78	42	8	34	121	65
ENSBTAG00000000322_CD2AP	CD2AP	CD2AP	CD2AP	473	323	466	447	605	663	549	684
ENSBTAG00000000326_ENTHD1	ENTHD1	ENTHD1	ENTHD1	0	0	0	0	0	0	0	0
ENSBTAG00000000328_TPPP2	TPPP2	TPPP2	TPPP2	0	0	0	0	0	0	0	0
ENSBTAG00000000329_MEGF10	MEGF10	MEGF10	MEGF10	0	0	0	0	0	0	0	0
ENSBTAG00000000330_ALDH16A1	ALDH16A1	ALDH16A1	ALDH16A1	282	116	234	210	52	123	103	117
ENSBTAG00000000332_ERF	ERF	ERF	ERF	20	21	36	21	8	6	6	8
ENSBTAG00000000333_ARHGAP20	ARHGAP20	ARHGAP20	ARHGAP20	0	5	0	0	0	0	0	0
ENSBTAG00000000335_HMGB4	HMGB4	HMGB4	HMGB4	0	0	0	0	0	0	0	0
ENSBTAG00000000336	#VALUE!	-	ENSBTAG00000000336	0	0	2	0	0	0	0	0
ENSBTAG00000000340_ADNP	ADNP	ADNP	ADNP	250	224	233	212	112	107	113	83
ENSBTAG00000000341_ISOC1	ISOC1	ISOC1	ISOC1	40	87	124	72	48	48	137	112
ENSBTAG00000000342_PLOD3	PLOD3	PLOD3	PLOD3	45	51	65	35	13	7	8	25
ENSBTAG00000000343_ZNHIT1	ZNHIT1	ZNHIT1	ZNHIT1	177	158	192	184	61	47	74	98
ENSBTAG00000000344_SPACA3	SPACA3	SPACA3	SPACA3	0	0	0	0	0	0	0	0
ENSBTAG00000000345_CLDN15	CLDN15	CLDN15	CLDN15	2	1	0	2	0	0	0	0
ENSBTAG00000000347_RHOG	RHOG	RHOG	RHOG	86	76	104	62	81	89	160	81
ENSBTAG00000000354_PDE6G	PDE6G	PDE6G	PDE6G	9	2	4	0	2	0	0	0
ENSBTAG00000000355_OXLD1	OXLD1	OXLD1	OXLD1	72	86	75	41	29	39	27	25
ENSBTAG00000000356_CCDC137	CCDC137	CCDC137	CCDC137	87	60	96	103	33	69	66	131
ENSBTAG00000000357_PRAG1	PRAG1	PRAG1	PRAG1	7	1	24	6	4	4	18	0
ENSBTAG00000000359_EIF3J	EIF3J	EIF3J	EIF3J	389	249	353	234	120	194	256	251
ENSBTAG00000000362_SPG11	SPG11	SPG11	SPG11	55	25	39	49	58	42	66	33
ENSBTAG00000000363_BDP1	BDP1	BDP1	BDP1	156	145	165	174	45	93	129	81
ENSBTAG00000000365_TDP2	TDP2	TDP2	TDP2	257	93	133	185	31	71	76	66
ENSBTAG00000000368_OR56A1	OR56A1	OR56A1	OR56A1	0	0	0	0	0	0	0	0
ENSBTAG00000000369_EPS8	EPS8	EPS8	EPS8	102	71	203	86	157	419	397	392
ENSBTAG00000000371_DIS3L	DIS3L	DIS3L	DIS3L	145	188	337	187	48	203	130	174
ENSBTAG00000000372_TIPIN	TIPIN	TIPIN	TIPIN	146	123	107	76	91	61	17	75
ENSBTAG00000000374_LRRTM4	LRRTM4	LRRTM4	LRRTM4	0	0	0	0	0	0	0	0
ENSBTAG00000000375_SSRP1	SSRP1	SSRP1	SSRP1	855	991	1678	1490	222	404	332	440
ENSBTAG00000000376_P2RX3	P2RX3	P2RX3	P2RX3	4	1	1	5	4	3	5	4
ENSBTAG00000000377_BMX	BMX	BMX	BMX	0	7	15	0	0	0	5	1
ENSBTAG00000000379_GOLT1B	GOLT1B	GOLT1B	GOLT1B	122	54	147	53	145	79	147	163
ENSBTAG00000000381_S1PR4	S1PR4	S1PR4	S1PR4	0	0	0	0	0	0	0	0
ENSBTAG00000000382_MED27	MED27	MED27	MED27	117	109	192	182	97	126	138	146
ENSBTAG00000000385_ZBTB18	ZBTB18	ZBTB18	ZBTB18	28	48	24	48	46	43	37	33
ENSBTAG00000000387_NICN1	NICN1	NICN1	NICN1	113	109	69	83	65	43	59	83
ENSBTAG00000000389_ZNF212	ZNF212	ZNF212	ZNF212	42	39	35	81	31	57	57	30
ENSBTAG00000000390_TPST1	TPST1	TPST1	TPST1	113	22	35	13	21	40	127	35
ENSBTAG00000000392_ASCC1	ASCC1	ASCC1	ASCC1	119	133	128	131	31	28	90	40
ENSBTAG00000000393_SSPN	SSPN	SSPN	SSPN	0	0	4	1	2	2	0	0
ENSBTAG00000000394_BACE2	BACE2	BACE2	BACE2	39	62	110	131	135	187	252	241
ENSBTAG00000000395_ADAMTS20	ADAMTS20	ADAMTS20	ADAMTS20	0	2	0	3	1	0	0	0
ENSBTAG00000000396_PIM1	PIM1	PIM1	PIM1	38	25	28	39	105	120	138	106
ENSBTAG00000000397_CNPY1	CNPY1	CNPY1	CNPY1	2	1	0	2	1	0	0	3
ENSBTAG00000000399	#VALUE!	-	ENSBTAG00000000399	1	1	2	0	0	3	1	1
ENSBTAG00000000400_KRT85	KRT85	KRT85	KRT85	0	0	1	1	0	10	10	0
ENSBTAG00000000401_TTC24	TTC24	TTC24	TTC24	0	0	0	0	0	0	0	0
ENSBTAG00000000404_NAXE	NAXE	NAXE	NAXE	1157	977	893	1271	622	634	567	796
ENSBTAG00000000405_VKORC1	VKORC1	VKORC1	VKORC1	395	310	241	395	565	165	351	310
ENSBTAG00000000406_GPATCH4	GPATCH4	GPATCH4	GPATCH4	64	33	117	32	55	42	41	18
ENSBTAG00000000409_CDC40	CDC40	CDC40	CDC40	218	199	172	197	98	118	155	161
ENSBTAG00000000410_PAX4	PAX4	PAX4	PAX4	0	0	0	0	0	0	0	0
ENSBTAG00000000411_HGS	HGS	HGS	HGS	246	185	289	291	107	354	327	280
ENSBTAG00000000413_NRTN	NRTN	NRTN	NRTN	3	0	1	1	20	13	19	16
ENSBTAG00000000414_FUT6	FUT6	FUT6	FUT6	39	52	3	51	885	1720	1067	2193
ENSBTAG00000000415_ERBIN	ERBIN	ERBIN	ERBIN	290	259	270	240	183	204	254	170
ENSBTAG00000000417_MRPL12	MRPL12	MRPL12	MRPL12	1413	1044	1096	1374	320	351	267	381
